NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5016,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BO1303.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5026,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BO1077.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5008,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1240.1,AMM 2PB,-,-51.1,0.0,0,----,----,-
SOEM1,5008,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1240.1,AMM 2PB,-,-50.4,0.0,0,340b,309d,-
SOEM1,5018,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2876.1,AMM 2PB,-,-36.3,-36.3,0,m76z,m75z,-
SOEM1,5018,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2876.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
SOEM1,5019,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4266.1,AMM 2PB,-,-42.9,-42.6,0,T66a,T41c,-
SOEM1,5019,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4266.1,AMM 2PB,-,-41.6,0.0,0,----,----,-
SOEM1,5005,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5490.1,AMM 2PB,-,-39.1,-39.1,0,690b,h98b,-
SOEM1,5005,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5490.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
SOEM1,5031,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-,-46.7,0.0,0,----,----,-
SOEM1,5031,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-,-45.1,-45.0,0,U98a,V17a,-
SOEM1,5031,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-,-44.8,-45.0,0,U98b,U29c,-
SOEM1,5031,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-,-44.5,0.0,0,----,----,-
SOEM1,5035,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-TP4247.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5047,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-JIPOS02.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5017,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1874-TN2.1,AMM 2PB,-,-47.3,0.0,0,----,----,-
SOEM1,5017,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-JI1874-TN2.1,AMM 2PB,-,-47.0,-46.7,0,I74d,I91b,-
SOEM1,5024,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5258.1,AMM 2PB,-,-39.8,-39.9,0,h58a,A77f,-
SOEM1,5024,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5258.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
SOEM1,5059,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-TP4283-TN2.1,AMM 6PC,-,-,-,0,----,----,PM failure unspecified error
SOEM1,5054,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-TP4268.1,AMM 2PB,-,-,-,0,----,----,PM failure unspecified error
SOEM1,5023,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4260.1,AMM 6PC,-,-45.4,0.0,0,----,----,-
SOEM1,5023,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4260.1,AMM 6PC,-,-45.7,-45.8,0,T60a,T69a,-
SOEM1,5023,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4260.1,AMM 6PC,-,-46.0,-45.8,0,T60c,T83f,-
SOEM1,5023,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4260.1,AMM 6PC,-,-47.3,0.0,0,----,----,-
SOEM1,5028,F2/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-,-46.7,0.0,0,----,----,-
SOEM1,5028,F15/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-,-40.4,0.0,0,----,----,-
SOEM1,5028,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-,-42.9,-42.8,0,U33m,699a,-
SOEM1,5028,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-,-42.3,-42.2,0,U33b,UT1c,-
SOEM1,5028,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-,-41.3,0.0,0,----,----,-
