Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-675375834,1/21/2021 5:15,SOEM1,5008,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TE1240.1,AMM 2PB,-50.4,340b,309d,,
944624046,1/21/2021 5:15,SOEM1,5018,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2876.1,AMM 2PB,-36.3,m76z,m75z,,
863954649,1/21/2021 5:15,SOEM1,5019,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4266.1,AMM 2PB,-42.9,T66a,T41c,,
696042998,1/21/2021 5:15,SOEM1,5005,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5490.1,AMM 2PB,-39.1,690b,h98b,,
-348877127,1/21/2021 5:15,SOEM1,5031,1/2.1/1,1/21/2021 0:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-45.1,U98a,V17a,,
-348877127,1/21/2021 5:15,SOEM1,5031,1/3.1/1,1/21/2021 0:00,24,Near End,TN-BM3598-TN2.1,AMM 2PB,-44.8,U98b,U29c,,
-580670137,1/21/2021 5:15,SOEM1,5017,1/2.1/1,1/21/2021 0:00,24,Near End,TN-JI1874-TN2.1,AMM 2PB,-47,I74d,I91b,,
-871685301,1/21/2021 5:15,SOEM1,5024,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5258.1,AMM 2PB,-39.8,h58a,A77f,,
833527725,1/21/2021 5:15,SOEM1,5023,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4260.1,AMM 6PC,-45.7,T60a,T69a,,
833527725,1/21/2021 5:15,SOEM1,5023,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4260.1,AMM 6PC,-46,T60c,T83f,,
-1860850081,1/21/2021 5:15,SOEM1,5028,1/15.1/1,1/21/2021 0:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-42.9,U33m,699a,,
-1860850081,1/21/2021 5:15,SOEM1,5028,1/2.1/1,1/21/2021 0:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-42.3,U33b,UT1c,,
-1860850081,1/21/2021 5:15,SOEM1,5028,1/3.1/1,1/21/2021 0:00,24,Near End,TN-BM3533-TN1.1,AMM 20PB,-48.2,U33b,UT1c,,
-1975131129,1/21/2021 5:15,SOEM1,5007,1/6.1/1,1/21/2021 0:00,24,Near End,TN-AL1664.1,AMM 6PC,-39.1,A64e,240a,,
-1975131129,1/21/2021 5:15,SOEM1,5007,1/5.1/1,1/21/2021 0:00,24,Near End,TN-AL1664.1,AMM 6PC,-44.5,A64c,f24b,,
-1975131129,1/21/2021 5:15,SOEM1,5007,1/4.1/1,1/21/2021 0:00,24,Near End,TN-AL1664.1,AMM 6PC,-43.8,A64d,h04a,,
-1975131129,1/21/2021 5:15,SOEM1,5007,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL1664.1,AMM 6PC,-39.8,A64b,A88h,,
-1975131129,1/21/2021 5:15,SOEM1,5007,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL1664.1,AMM 6PC,-39.5,A64a,A88g,,
2099211801,1/21/2021 5:15,SOEM1,5049,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4248.1,AMM 2PB,-41,T48b,T12d,,
1557421418,1/21/2021 5:15,SOEM1,5044,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TP4209.1,AMM 6PC,-42.9,T09d,T62a,,
1354586271,1/21/2021 5:15,SOEM1,5040,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4616.1,AMM 2PB,-38.2,t16a,T83d,,
1587490251,1/21/2021 5:15,SOEM1,5061,1/14.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN2.1,AMM 20PB,-37.3,TT3e,T23b,,
1587490251,1/21/2021 5:15,SOEM1,5061,1/13.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN2.1,AMM 20PB,-45.7,TT3m,T64a,,
1587490251,1/21/2021 5:15,SOEM1,5061,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN2.1,AMM 20PB,-37.9,TT3e,T45b,,
1587490251,1/21/2021 5:15,SOEM1,5061,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN2.1,AMM 20PB,-38.2,TT3b,T45d,,
-2025991973,1/21/2021 5:15,SOEM1,5056,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4241.1,AMM 2PB,-46,T41b,T12c,,
-2025991973,1/21/2021 5:15,SOEM1,5056,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4241.1,AMM 2PB,-41.6,T41c,T66a,,
1321072129,1/21/2021 5:15,SOEM1,5043,1/5.1/1,1/21/2021 0:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-47,U76h,U09p,,
1321072129,1/21/2021 5:15,SOEM1,5043,1/3.1/1,1/21/2021 0:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-46,U76f,U09s,,
1321072129,1/21/2021 5:15,SOEM1,5043,1/4.1/1,1/21/2021 0:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-48.2,U76g,U09v,,
1321072129,1/21/2021 5:15,SOEM1,5043,1/2.1/1,1/21/2021 0:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-48.5,U76e,U09r,,
302177801,1/21/2021 5:15,SOEM1,5053,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TPT07.1,AMM 6PC,-49.5,TT7b,T27a,,
302177801,1/21/2021 5:15,SOEM1,5053,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TPT07.1,AMM 6PC,-41.3,TT7a,TT2k,,
302177801,1/21/2021 5:15,SOEM1,5053,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TPT07.1,AMM 6PC,-37.6,TT7a,TT2k,,
-2075271765,1/21/2021 5:15,SOEM1,5046,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5298.1,AMM 2PB,-99.9,h98a,264b,,
-2075271765,1/21/2021 5:15,SOEM1,5046,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL5298.1,AMM 2PB,-40.4,h98b,690b,,
-1743585336,1/21/2021 5:15,SOEM1,5014,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4202.1,AMM 6PC,-46.4,T02d,T46a,,
-1743585336,1/21/2021 5:15,SOEM1,5014,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4202.1,AMM 6PC,-45.7,T02c,T44b,,
-1743585336,1/21/2021 5:15,SOEM1,5014,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4202.1,AMM 6PC,-42,T02e,T83d,,
1767305589,1/21/2021 5:15,SOEM1,5038,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TP4245.1,AMM 6PC,-38.2,T45d,TT3b,,
1767305589,1/21/2021 5:15,SOEM1,5038,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4245.1,AMM 6PC,-39.1,T45b,TT3e,,
1767305589,1/21/2021 5:15,SOEM1,5038,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4245.1,AMM 6PC,-36.3,T45g,T83a,,
1767305589,1/21/2021 5:15,SOEM1,5038,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4245.1,AMM 6PC,-36.9,T45f,T83c,,
2120391467,1/21/2021 5:15,SOEM1,5077,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS3228.1,AMM 2PB,-41.3,M28z,m83z,,
1994037791,1/21/2021 5:15,SOEM1,5081,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AI4483.1,AMM 2PB,-40.4,a83a,a03e,,
-815711296,1/21/2021 5:15,SOEM1,5085,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4259.1,AMM 6PC,-41.6,T59a,T82b,,
-815711296,1/21/2021 5:15,SOEM1,5085,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4259.1,AMM 6PC,-37.9,T59d,T13c,,
1814209629,1/21/2021 5:15,SOEM1,5076,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL6551.1,AMM 2PB,-45.7,K51b,A07a,,
1814209629,1/21/2021 5:15,SOEM1,5076,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL6551.1,AMM 2PB,-99.9,k51a,n05d,,
-1844284923,1/21/2021 5:15,SOEM1,5067,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4227.1,AMM 2PB,-47.9,T27a,TT7b,,
915360445,1/21/2021 5:15,SOEM1,5078,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TO1580.1,AMM 6PC,-44.5,Z80b,ZTDe,,
915360445,1/21/2021 5:15,SOEM1,5078,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TO1580.1,AMM 6PC,-38.2,Z80f,JTDm,,
915360445,1/21/2021 5:15,SOEM1,5078,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TO1580.1,AMM 6PC,-45.4,Z80d,J62a,,
915360445,1/21/2021 5:15,SOEM1,5078,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TO1580.1,AMM 6PC,-38.5,Z80e,JTDm,,
915360445,1/21/2021 5:15,SOEM1,5078,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TO1580.1,AMM 6PC,-46.4,Z80c,ZTDh,,
1027617305,1/21/2021 5:15,SOEM1,5062,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-37.3,T83a,T45g,,
1027617305,1/21/2021 5:15,SOEM1,5062,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-42.9,T83e,t12a,,
1027617305,1/21/2021 5:15,SOEM1,5062,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-36.9,T83c,T45f,,
1027617305,1/21/2021 5:15,SOEM1,5062,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-49.8,T83b,T82a,,
1027617305,1/21/2021 5:15,SOEM1,5062,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-44.2,T83d,T02e,,
-635825457,1/21/2021 5:15,SOEM1,5075,1/15.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN1.1,AMM 20PB,-42,TT3r,t19a,,
-635825457,1/21/2021 5:15,SOEM1,5075,1/17.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN1.1,AMM 20PB,-41,TT3m,T42f,,
-635825457,1/21/2021 5:15,SOEM1,5075,1/8.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN1.1,AMM 20PB,-99.9,TT3g,TT2i,,
-635825457,1/21/2021 5:15,SOEM1,5075,1/16.1/1,1/21/2021 0:00,24,Near End,TN-TPT03-TN1.1,AMM 20PB,-42.3,TT3i,T42b,,
432661662,1/21/2021 5:15,SOEM1,5083,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4242.1,AMM 6PC,-42.9,T42c,T62b,,
432661662,1/21/2021 5:15,SOEM1,5083,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TP4242.1,AMM 6PC,-42.9,T42a,T01a,,
432661662,1/21/2021 5:15,SOEM1,5083,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4242.1,AMM 6PC,-44.2,T42d,T61b,,
432661662,1/21/2021 5:15,SOEM1,5083,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4242.1,AMM 6PC,-41.6,T42f,TT3m,,
