NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5016,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BO1303.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5026,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-BO1077.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5008,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1240.1,AMM 2PB,-,-51.1,0.0,0,----,----,-
SOEM1,5008,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1240.1,AMM 2PB,-,-50.4,0.0,0,340b,309d,-
SOEM1,5018,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2876.1,AMM 2PB,-,-36.3,-36.3,0,m76z,m75z,-
SOEM1,5018,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS2876.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
SOEM1,5019,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4266.1,AMM 2PB,-,-42.9,-42.6,0,T66a,T41c,-
SOEM1,5007,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1664.1,AMM 6PC,-,-44.5,-44.4,0,A64c,f24b,-
SOEM1,5049,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4248.1,AMM 2PB,-,-41.0,-41.2,0,T48b,T12d,-
SOEM1,5061,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT03-TN2.1,AMM 20PB,-,-37.3,-36.5,0,TT3e,T23b,-
SOEM1,5056,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4241.1,AMM 2PB,-,-46.0,-46.0,0,T41b,T12c,-
SOEM1,5043,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-,-47.0,-46.5,0,U76h,U09p,-
SOEM1,5043,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3576-TN2.1,AMM 6PC,-,-48.5,-48.2,0,U76e,U09r,-
SOEM1,5053,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT07.1,AMM 6PC,-,-37.6,-35.3,0,TT7a,TT2k,-
SOEM1,5046,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5298.1,AMM 2PB,-,-40.4,-40.4,0,h98b,690b,-
SOEM1,5014,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4202.1,AMM 6PC,-,-42.0,-42.0,0,T02e,T83d,-
SOEM1,5038,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4245.1,AMM 6PC,-,-36.3,-36.3,0,T45g,T83a,-
SOEM1,5077,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-MS3228.1,AMM 2PB,-,-41.6,0.0,0,----,----,-
SOEM1,5085,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4259.1,AMM 6PC,-,-37.9,0.0,0,----,----,-
SOEM1,5076,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6551.1,AMM 2PB,-,-99.9,0.0,0,----,----,PM Failure - NE PM data is invalid
SOEM1,5067,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4227.1,AMM 2PB,-,-49.2,0.0,0,----,----,-
SOEM1,5078,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TO1580.1,AMM 6PC,-,-38.5,-38.6,0,Z80e,JTDm,-
SOEM1,5078,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TO1580.1,AMM 6PC,-,-46.4,0.0,0,----,----,-
SOEM1,5062,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-,-42.9,0.0,0,----,----,-
SOEM1,5062,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4283-TN1.1,AMM 6PC,-,-37.3,0.0,0,----,----,-
SOEM1,5075,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT03-TN1.1,AMM 20PB,-,-42.3,-42.4,0,TT3i,T42b,-
SOEM1,5083,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4242.1,AMM 6PC,-,-42.9,-42.9,0,T42c,T62b,-
SOEM1,5083,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TP4242.1,AMM 6PC,-,-42.9,0.0,0,----,----,-
SOEM1,5080,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT02.1,AMM 20PB,-,-41.6,0.0,0,TT2l,T71a,-
SOEM1,5080,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT02.1,AMM 20PB,-,-42.9,-42.1,0,TT2k,TT7a,-
SOEM1,5080,1/19.1/1,2021-01-21 00:00:00,24,Near End,TN-TPT02.1,AMM 20PB,-,-45.7,-45.7,0,TT2e,T03b,-
